username,created_at,likes,comments,shares,views,engagement_rate,post_date,posts_per_day,views_per_video,likes_per_video,comments_per_video,hour,weekday
fahad_teaches,2021-08-26 07:10:53+00:00,27300,164,187,188100,0.1470015948963317,2021-08-26,1,188100.0,27300.0,164.0,7,Thursday
lozdogzz,2021-08-05 10:29:58+00:00,6842,42,339,78300,0.0922477650063856,2021-08-05,1,78300.0,6842.0,42.0,10,Thursday
rubyyydoobyy,2021-07-22 08:34:50+00:00,5074,114,97,80500,0.0656521739130434,2021-07-22,1,80500.0,5074.0,114.0,8,Thursday
artofsmartedu,2021-07-01 04:22:44+00:00,7305,184,243,59700,0.1295142378559464,2021-07-01,1,59700.0,7305.0,184.0,4,Thursday
jufmlg,2021-09-22 17:03:05+00:00,14900,240,301,415500,0.0371624548736462,2021-09-22,1,415500.0,14900.0,240.0,17,Wednesday
newams_,2021-09-16 11:25:08+00:00,4419,128,35,133300,0.0343735933983495,2021-09-16,1,133300.0,4419.0,128.0,11,Thursday
jufmlg,2021-09-16 14:24:03+00:00,2621,41,113,58000,0.0478448275862068,2021-09-16,1,58000.0,2621.0,41.0,14,Thursday
lauryn.kyle0,2025-04-19 04:23:04+00:00,76100,542,4664,1400000,0.0580757142857142,2025-04-19,1,1400000.0,76100.0,542.0,4,Saturday
ella_helmi_twins,2025-10-07 04:40:58+00:00,32200,98,1559,413200,0.0819385285575992,2025-10-07,1,413200.0,32200.0,98.0,4,Tuesday
asiakertusha_,2025-12-07 20:34:46+00:00,5300,10,249,85800,0.0647902097902097,2025-12-07,1,85800.0,5300.0,10.0,20,Sunday
mariilenaa.aa,2025-11-14 21:07:21+00:00,3341,115,95,128600,0.0276127527216174,2025-11-14,1,128600.0,3341.0,115.0,21,Friday
laraaizzz,2025-07-16 17:42:27+00:00,3649,56,737,32800,0.1354268292682927,2025-07-16,1,32800.0,3649.0,56.0,17,Wednesday
lluna.zwombie,2025-05-05 17:43:47+00:00,3895,57,146,74100,0.0553036437246963,2025-05-05,1,74100.0,3895.0,57.0,17,Monday
parisowyang_,2025-10-18 22:14:57+00:00,12600,256,486,529200,0.0252116402116402,2025-10-18,1,529200.0,12600.0,256.0,22,Saturday
asthetic_qeens0,2025-12-20 14:49:51+00:00,11700,74,367,218200,0.0556416131989,2025-12-20,1,218200.0,11700.0,74.0,14,Saturday
petopia27,2025-08-07 21:46:18+00:00,4615,133,226,673300,0.0073874944304173,2025-08-07,1,673300.0,4615.0,133.0,21,Thursday
nourfahaam,2025-08-06 15:11:12+00:00,1003,109,17,1400000,0.0008064285714285,2025-08-06,1,1400000.0,1003.0,109.0,15,Wednesday
lu12na00,2025-09-21 15:26:17+00:00,1243,40,45,31700,0.0418927444794952,2025-09-21,1,31700.0,1243.0,40.0,15,Sunday
